stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
BLK,848.5999755859375,18.151660044469168,23.10706638423947,26.2561978131356,30.089965820174683,11.138492802633372,-41.69561317995556,37.81952827160319,-0.01650160608446015
BA,225.9600067138672,9.393456498723651,13.13422365723749,15.687908875405782,19.69171087511744,5.699421099219146,-44.457662246437735,32.04781423715633,-0.40374555843688864
CAT,228.94000244140625,6.48843566613516,8.716411370141007,9.720152206528041,12.731635363627376,3.8545003141523546,-39.36037756817893,25.456842266125193,-0.29153111196377834
IBM,134.2100067138672,2.2665230376194643,4.083472300869593,4.601505777292658,8.138385704761786,1.9334187647523504,-42.287426752527054,22.585038650949116,0.19741779191305786
SBUX,100.12000274658203,2.5584082232460332,4.689632657106382,5.473404168048376,9.535421182712776,4.374729630023173,-49.5529078672033,199.20242483785842,0.28604497925018946
AMT,250.6199951171875,5.267243574542249,7.477796745464971,8.623677715546165,11.20796473037713,3.5755047241041593,-21.864577465529095,21.755028666535623,0.2578473776976908
GE,103.16000366210938,3.021738028383922,3.8331600556091363,4.4130253362476,5.036422260326841,1.8540890338091647,-7.329537829670031,6.805822958696012,0.025991880095289993
ISRG,307.739990234375,9.040795480683187,11.402050511554627,12.912497110962079,14.685542092820885,5.533233504280992,-18.77670615729113,20.7081140539575,0.053078528617588015
COP,86.73999786376953,2.9826104975009713,3.857225858114111,4.344981313871585,5.3166643451744395,1.8337709851110462,-9.745711867700606,7.988168939951294,0.001404693129589549
TGT,221.39999389648438,4.927042892447446,6.893077692460027,8.142430989767774,10.138022412521474,3.2748942448286282,-16.55607588997748,18.223913463623262,0.29692295046558914
ANTM,452.1400146484375,9.639626071398538,12.550698223209606,13.982422062834587,16.98916333671491,6.098012805038497,-28.472009401741104,44.36072213223167,0.31790809538608655
AXP,168.39999389648438,5.163204000139132,7.363171263443856,8.45637299408699,11.639046159726822,3.301354680625673,-30.471999625341255,18.056427421773805,-0.0447834196626265
